code,species,locality,state,type,Municipality,State,Lat,Long
I1666,B_jararaca,Protasio Alves,RS,mainland,Protásio Alves,RS,-28.757,-51.473
I1667,B_jararaca,Protasio Alves,RS,mainland,Protásio Alves,RS,-28.757,-51.473
I1643,B_jararaca,Veranopolis,RS,mainland,Veranópolis,RS,-28.936,-51.549
SB0101,B_jararaca,Anita Garibaldi,SC,mainland,Anita Garibaldi,SC,-27.689,-51.13
I12297,B_jararaca,Biguacu,SC,mainland,Biguaçu,SC,-27.494,-48.656
I1593,B_jararaca,Blumenau,SC,mainland,Blumenau,SC,-26.919,-49.066
I1595,B_jararaca,Blumenau,SC,mainland,Blumenau,SC,-26.919,-49.066
SB0020,B_jararaca,Campos Novos,SC,mainland,Campos Novos,SC,-27.402,-51.225
I1602,B_jararaca,Canoinhas,SC,mainland,Canoinhas,SC,-26.177,-50.39
I1645,B_jararaca,Canoinhas,SC,mainland,Canoinhas,SC,-26.177,-50.39
I1660,B_jararaca,Capinzal,SC,mainland,Capinzal,SC,-27.344,-51.612
I1497,B_jararaca,Corupa,SC,mainland,Corupá,SC,-26.425,-49.243
I1596,B_jararaca,Fraiburgo,SC,mainland,Fraiburgo,SC,-27.026,-50.921
I1597,B_jararaca,Fraiburgo,SC,mainland,Fraiburgo,SC,-27.026,-50.921
I1598,B_jararaca,Fraiburgo,SC,mainland,Fraiburgo,SC,-27.026,-50.921
I1494,B_jararaca,Jaragua do Sul,SC,mainland,Jaraguá do Sul,SC,-26.486,-49.067
I1495,B_jararaca,Jaragua do Sul,SC,mainland,Jaraguá do Sul,SC,-26.486,-49.067
I12295,B_jararaca,Palhoca,SC,mainland,Palhoça,SC,-27.645,-48.668
I1500,B_jararaca,Pomerode,SC,mainland,Pomerode,SC,-26.741,-49.177
I1501,B_jararaca,Pomerode,SC,mainland,Pomerode,SC,-26.741,-49.177
I18357,B_jararaca,Pomerode,SC,mainland,Pomerode,SC,-26.741,-49.177
I1489,B_jararaca,Sao Bento do Sul,SC,mainland,São Bento do Sul,SC,-26.25,-49.379
I1490,B_jararaca,Sao Bento do Sul,SC,mainland,São Bento do Sul,SC,-26.25,-49.379
I1770,B_jararaca,Xaxim,SC,mainland,Xaxim,SC,-26.962,-52.535
I1803,B_jararaca,Cananeia,SP,mainland,Cananéia,SP,-25.015,-47.927
I1708,B_jararaca,Caraguatatuba,SP,mainland,Caraguatatuba,SP,-23.62,-45.413
I1644,B_jararaca,Chavantes,SP,mainland,Chavantes,SP,-23.039,-49.709
I1739,B_jararaca,Cosmopolis,SP,mainland,Cosmópolis,SP,-22.646,-47.196
I1493,B_jararaca,Guapiara,SP,mainland,Guapiara,SP,-24.185,-48.533
I1636,B_jararaca,Ibiuna,SP,mainland,Ibiúna,SP,-23.656,-47.223
I1740,B_jararaca,Ibiuna,SP,mainland,Ibiúna,SP,-23.656,-47.223
SB0032,B_jararaca,Ibiuna,SP,mainland,Ibiúna,SP,-23.656,-47.223
SB0090,B_jararaca,Ibiuna,SP,mainland,Ibiúna,SP,-23.656,-47.223
I1747,B_jararaca,Iporanga,SP,mainland,Iporanga,SP,-24.586,-48.593
I1748,B_jararaca,Iporanga,SP,mainland,Iporanga,SP,-24.586,-48.593
I1753,B_jararaca,Itanhaem,SP,mainland,Itanhaém,SP,-24.183,-46.789
I1755,B_jararaca,Itanhaem,SP,mainland,Itanhaém,SP,-24.183,-46.789
SB1543,B_jararaca,Itanhaem,SP,mainland,Itanhaém,SP,-24.183,-46.789
I1700,B_jararaca,Mairipora,SP,mainland,Mairiporã,SP,-23.319,-46.587
I1744,B_jararaca,Mairipora,SP,mainland,Mairiporã,SP,-23.319,-46.587
I1631,B_jararaca,Piedade,SP,mainland,Piedade,SP,-23.712,-47.428
I1806,B_jararaca,Piedade,SP,mainland,Piedade,SP,-23.712,-47.428
I1600,B_jararaca,Ribeirao Grande,SP,mainland,Ribeirão Grande,SP,-24.099,-48.365
I1601,B_jararaca,Ribeirao Grande,SP,mainland,Ribeirão Grande,SP,-24.099,-48.365
I1697,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1698,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1701,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1702,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1703,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1704,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1705,B_jararaca,Santo Andre,SP,mainland,Santo André,SP,-23.664,-46.538
I1646,B_jararaca,Sao Bernardo do Campo,SP,mainland,São Bernardo do Campo,SP,-23.694,-46.565
I1635,B_jararaca,Ubatuba,SP,mainland,Ubatuba,SP,-23.434,-45.071
I1790,B_jararaca,Mucuge,BA,mainland,Mucugê,BA,-13.005,-41.371
I1506,B_jararaca,Domingos Martins,ES,mainland,Domingos Martins,ES,-20.363,-40.659
I1507,B_jararaca,Domingos Martins,ES,mainland,Domingos Martins,ES,-20.363,-40.659
I1525,B_jararaca,Juiz de Fora,MG,mainland,Juiz de Fora,MG,-21.764,-43.35
I1604,B_jararaca,Petropolis,RJ,mainland,Petrópolis,RJ,-22.505,-43.179
I1808,B_jararaca,Juquitiba,SP,mainland,Juquitiba,SP,-23.932,-47.068
